frame_idx,source,ocr_text,ocr_raw,status_text,hsv_label,hsv_green,hsv_red,vcb_box,label_box,status_box,num_boxes,yolo_ms,total_ms,fps
58,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.530) | From Aux Tr 4TRA1-Y(0.695),"green (g=418, r=0)",green,418,0,"453,218,1013,719,0.9762","598,572,858,634,0.9562","532,568,556,587,0.9057",3,37.161,148.025,6.756
59,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.703) | From Aux Tr 4TRA1-Y(0.778),"green (g=399, r=0)",green,399,0,"450,222,1011,716,0.9724","596,574,858,636,0.9684","531,570,555,588,0.8922",3,37.702,147.099,6.798
60,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.649) | From Aux Tr 4TR41-Y(0.664),"green (g=409, r=0)",green,409,0,"447,221,1013,716,0.9723","595,576,860,638,0.9739","529,571,553,590,0.9483",3,42.311,146.687,6.817
61,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.499) | From Aux Tr 4TR41-Y(0.913),"green (g=423, r=0)",green,423,0,"445,224,1013,719,0.9691","592,578,859,640,0.9746","527,572,551,591,0.9665",3,37.279,148.423,6.737
62,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.689) | From Aux Tr 4TR41-Y(0.650),"green (g=426, r=0)",green,426,0,"442,224,1012,720,0.9759","591,580,857,642,0.9687","523,574,547,593,0.9171",3,37.543,144.348,6.928
63,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.555) | From Aux Tr 4TRA1-Y(0.606),"green (g=376, r=0)",green,376,0,"438,224,1010,720,0.9706","586,581,854,644,0.9524","519,577,542,596,0.9083",3,36.964,141.393,7.072
64,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.763) | From Aux Tr 4TRA1-Y(0.618),"green (g=459, r=0)",green,459,0,"433,226,1007,720,0.9735","582,584,850,648,0.9670","513,579,538,599,0.8667",3,37.444,143.452,6.971
65,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.701) | From Aux Tr 4TRA1-Y(0.774),"green (g=498, r=0)",green,498,0,"427,227,1003,720,0.9714","576,588,846,653,0.9833","507,583,533,603,0.8759",3,38.583,162.511,6.153
66,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.687) | From Aux Tr 4TRA1-Y(0.569),"green (g=386, r=0)",green,386,0,"422,229,1001,720,0.9648","572,593,843,658,0.9817","504,586,529,606,0.9588",3,37.352,153.543,6.513
67,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.627) | From Aux Tr 4TR41-Y(0.895),"green (g=478, r=0)",green,478,0,"416,228,999,720,0.9717","569,596,841,661,0.9476","499,590,525,610,0.8450",3,39.104,166.572,6.003
