frame_idx,source,ocr_text,ocr_raw,status_text,hsv_label,hsv_green,hsv_red,vcb_box,label_box,status_box,num_boxes,yolo_ms,total_ms,fps
113,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.480) | From Aux Tr 4TR4I-Y(0.548),"green (g=466, r=0)",green,466,0,"580,230,1236,717,0.9637","757,623,1059,693,0.9766","680,621,708,642,0.9047",3,38.405,178.070,5.616
114,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.805) | From Aux Tr 4TRA1-Y(0.396),"green (g=445, r=0)",green,445,0,"579,231,1233,718,0.9647","756,623,1059,693,0.9752","680,621,708,642,0.9137",3,38.055,186.387,5.365
115,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.503) | From Aux Tr 4TR41-Y(0.605),"green (g=480, r=0)",green,480,0,"578,232,1228,717,0.9637","754,623,1056,693,0.9713","679,621,707,642,0.9083",3,39.217,192.070,5.206
116,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.763) | From Aux Tr 4TRA1-Y(0.562),"green (g=479, r=0)",green,479,0,"576,233,1220,717,0.9658","752,623,1053,693,0.9679","676,622,704,643,0.9074",3,46.946,215.743,4.635
117,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.623) | From Aux Tr 4TRA4I-Y(0.390),"green (g=466, r=0)",green,466,0,"574,234,1213,718,0.9683","750,622,1049,693,0.9649","674,621,701,643,0.8251",3,46.900,234.802,4.259
118,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.733) | From Aux Tr 4TRAI-Y(0.610),"green (g=484, r=0)",green,484,0,"573,235,1206,718,0.9710","747,622,1044,692,0.9628","671,621,698,641,0.9492",3,42.473,223.907,4.466
119,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.848) | From Aux Tr 4TRAI-Y(0.321),"green (g=501, r=0)",green,501,0,"572,235,1199,718,0.9696","745,621,1040,691,0.9655","669,620,696,641,0.9683",3,45.159,212.896,4.697
120,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.816) | From Aux Tr 4TR41-Y(0.602),"green (g=428, r=0)",green,428,0,"576,233,1202,720,0.9670","743,620,1038,690,0.9686","668,619,695,640,0.9729",3,44.551,173.004,5.780
121,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.702) | From Aux Tr 4TR4I-Y(0.631),"green (g=534, r=0)",green,534,0,"576,233,1201,720,0.9671","743,619,1036,689,0.9685","667,619,695,639,0.9806",3,42.378,197.754,5.057
122,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.635) | From Aux Tr 4TRA1-Y(0.598),"green (g=541, r=0)",green,541,0,"577,234,1201,720,0.9679","743,618,1036,688,0.9678","668,618,696,639,0.9763",3,45.199,175.014,5.714
123,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.526) | From Aux Tr 4TR41-Y(0.532),"green (g=490, r=0)",green,490,0,"579,234,1202,720,0.9668","744,617,1037,688,0.9659","670,617,696,638,0.9791",3,44.962,174.600,5.727
124,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.841) | From Aux Tr 4TR41-Y(0.614),"green (g=536, r=0)",green,536,0,"575,236,1200,719,0.9692","746,617,1040,687,0.9651","671,616,699,637,0.9242",3,39.759,197.663,5.059
125,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.432) | From Aux Tr 4TR41-Y(0.557),"green (g=478, r=0)",green,478,0,"578,235,1205,718,0.9643","749,618,1044,687,0.9623","674,616,701,636,0.9044",3,42.794,168.688,5.928
126,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.736) | From Aux Tr 4TR41-Y(0.570),"green (g=459, r=0)",green,459,0,"582,235,1210,718,0.9658","752,617,1047,687,0.9663","676,615,703,635,0.9148",3,42.841,168.750,5.926
127,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.604) | From Aux Tr 4TR41-Y(0.820),"green (g=474, r=0)",green,474,0,"583,235,1214,718,0.9646","753,617,1049,687,0.9672","679,615,706,635,0.9109",3,41.114,173.887,5.751
128,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.472) | From Aux Tr 4TR41-Y(0.611),"green (g=415, r=0)",green,415,0,"584,235,1215,718,0.9676","753,617,1049,687,0.9685","679,615,707,635,0.9027",3,41.566,166.277,6.014
129,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.708) | From Aux Tr 4TR41-Y(0.496),"green (g=459, r=0)",green,459,0,"583,234,1214,718,0.9624","753,617,1049,687,0.9679","679,615,706,635,0.9286",3,43.462,168.534,5.934
130,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.478) | From Aux Tr 4TR41-Y(0.573),"green (g=443, r=0)",green,443,0,"581,234,1210,719,0.9626","752,616,1047,686,0.9652","677,615,704,635,0.9171",3,43.642,175.847,5.687
131,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.569) | From Aux Tr 4TRAI-Y(0.613),"green (g=515, r=0)",green,515,0,"578,233,1204,718,0.9656","750,615,1043,685,0.9604","674,615,701,636,0.8971",3,41.380,165.575,6.040
132,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.827) | From Aux Tr 4TRA1-Y(0.371),"green (g=480, r=0)",green,480,0,"580,231,1203,720,0.9666","746,615,1039,684,0.9681","671,615,699,636,0.8405",3,42.667,170.278,5.873
133,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.722) | From Aux Tr 4TR4I-Y(0.679),"green (g=552, r=0)",green,552,0,"576,231,1198,720,0.9705","743,615,1035,685,0.9715","667,616,695,637,0.9485",3,37.378,169.537,5.898
134,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.642) | From Aux Tr 4TRAT-Y(0.439),"green (g=492, r=0)",green,492,0,"571,232,1192,720,0.9665","739,615,1030,685,0.9737","664,617,691,638,0.9405",3,42.440,168.696,5.928
135,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.568) | From Aux Tr 4TRAI-Y(0.607),"green (g=566, r=0)",green,566,0,"567,232,1187,720,0.9702","734,615,1025,685,0.9704","659,618,687,639,0.9478",3,42.982,169.574,5.897
136,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.702) | From Aux Tr 4TRAT-Y(0.406),"green (g=518, r=0)",green,518,0,"562,232,1183,720,0.9781","730,616,1020,685,0.9670","655,618,682,640,0.9610",3,42.948,174.512,5.730
137,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.478) | From Aux Tr 4TRAI-Y(0.568),"green (g=521, r=0)",green,521,0,"556,243,1182,720,0.9769","725,616,1016,685,0.9686","650,620,677,641,0.9592",3,43.845,169.949,5.884
138,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.889) | From Aux Tr 4TR4T-Y(0.345),"green (g=556, r=0)",green,556,0,"549,242,1176,720,0.9858","720,616,1010,685,0.9648","644,621,672,642,0.9235",3,43.011,169.018,5.917
139,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.688) | From Aux Tr 4TRAT-Y(0.550),"green (g=531, r=0)",green,531,0,"542,241,1170,720,0.9834","714,616,1003,686,0.9677","639,621,666,642,0.9223",3,43.368,174.147,5.742
140,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.718) | From Aux Tr 4TRAT-Y(0.662),"green (g=562, r=0)",green,562,0,"532,237,1155,717,0.9798","709,617,997,687,0.9731","634,622,660,644,0.8471",3,42.894,162.987,6.135
141,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.868) | From Aux Tr 4TR4T-Y(0.519),"green (g=520, r=0)",green,520,0,"526,237,1148,718,0.9814","702,617,991,687,0.9712","627,624,653,644,0.8131",3,44.057,170.861,5.853
142,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.904) | From Aux Tr 4TR4I-Y(0.459),"green (g=453, r=0)",green,453,0,"518,237,1137,718,0.9779","695,618,984,687,0.9695","619,624,647,644,0.9302",3,43.448,170.421,5.868
143,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.631) | From Aux Tr 4TR4I-Y(0.632),"green (g=520, r=0)",green,520,0,"511,238,1128,718,0.9739","688,619,976,688,0.9696","612,626,638,646,0.9488",3,43.178,161.706,6.184
144,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.508) | From Aux Tr 4TR4I-Y(0.629),"green (g=533, r=0)",green,533,0,"510,236,1126,720,0.9795","680,620,967,690,0.9760","604,625,631,646,0.9341",3,40.612,164.047,6.096
145,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.556) | From Aux Tr 4TRAI-Y(0.491),"green (g=477, r=0)",green,477,0,"503,236,1120,720,0.9802","673,621,960,691,0.9779","598,626,624,646,0.9175",3,41.452,170.008,5.882
146,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.753) | From Aux Tr 4TRAI-Y(0.458),"green (g=561, r=0)",green,561,0,"496,248,1118,720,0.9834","667,622,954,692,0.9762","591,626,618,647,0.8992",3,44.651,169.444,5.902
147,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.781) | From Aux Tr 4TRAI-Y(0.650),"green (g=560, r=0)",green,560,0,"493,248,1113,720,0.9854","662,623,950,692,0.9762","586,626,614,647,0.9150",3,44.582,171.559,5.829
148,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.914) | From Aux Tr 4TRAI-Y(0.729),"green (g=471, r=0)",green,471,0,"491,248,1111,720,0.9887","658,623,948,693,0.9775","584,627,611,647,0.9517",3,42.745,176.616,5.662
149,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.622) | From Aux Tr 4TR4I-Y(0.627),"green (g=494, r=0)",green,494,0,"490,247,1110,720,0.9904","657,624,946,693,0.9758","582,626,608,646,0.9656",3,40.594,169.345,5.905
150,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.581) | From Aux Tr 4TRAI-Y(0.572),"green (g=512, r=0)",green,512,0,"489,247,1110,720,0.9900","654,625,944,693,0.9717","579,626,606,646,0.9598",3,41.885,169.636,5.895
151,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.645) | From Aux Tr 4TR4I-Y(0.424),"green (g=550, r=0)",green,550,0,"487,246,1109,720,0.9907","652,625,942,693,0.9723","576,625,604,646,0.9114",3,39.323,166.881,5.992
152,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.642) | From Aux Tr 4TRAI-Y(0.670),"green (g=537, r=0)",green,537,0,"484,245,1108,720,0.9910","650,625,940,693,0.9729","574,624,601,645,0.9405",3,43.806,170.452,5.867
153,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.816) | From Aux Tr 4TRAI-Y(0.597),"green (g=452, r=0)",green,452,0,"480,244,1106,720,0.9912","647,625,937,693,0.9730","571,624,598,644,0.9031",3,44.477,172.287,5.804
154,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.477) | From Aux Tr 4TRAI-Y(0.591),"green (g=405, r=0)",green,405,0,"477,243,1102,720,0.9898","643,625,933,693,0.9797","568,623,595,644,0.9300",3,42.535,168.318,5.941
155,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.659) | From Aux Tr 4TRA1-Y(0.564),"green (g=527, r=0)",green,527,0,"473,242,1099,720,0.9892","639,625,929,693,0.9797","563,622,590,643,0.9140",3,43.139,168.387,5.939
156,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.610) | From Aux Tr 4TR41-Y(0.504),"green (g=531, r=0)",green,531,0,"469,241,1096,720,0.9869","636,624,926,693,0.9777","560,622,587,643,0.8429",3,43.081,169.151,5.912
157,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.871) | From Aux Tr 4TRA1-Y(0.650),"green (g=515, r=0)",green,515,0,"464,238,1089,718,0.9826","631,625,923,693,0.9748","556,622,583,643,0.8289",3,38.186,165.652,6.037
158,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.569) | From Aux Tr 4TRA1-Y(0.601),"green (g=556, r=0)",green,556,0,"460,238,1086,718,0.9794","626,625,919,693,0.9720","552,622,579,644,0.8962",3,42.594,186.125,5.373
159,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.537) | From Aux Tr 4TR41-Y(0.622),"green (g=532, r=0)",green,532,0,"456,237,1082,718,0.9779","623,625,915,693,0.9672","548,623,575,643,0.9301",3,44.501,209.818,4.766
160,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.597) | From Aux Tr 4TRA1-Y(0.705),"green (g=462, r=0)",green,462,0,"451,236,1075,718,0.9765","620,624,912,693,0.9608","546,623,572,643,0.8368",3,44.671,194.008,5.154
161,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.642) | From Aux Tr 4TR4I-Y(0.456),"green (g=434, r=0)",green,434,0,"448,235,1071,718,0.9718","617,624,909,693,0.9698","542,623,569,643,0.8749",3,42.790,169.210,5.910
162,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.661) | From Aux Tr 4TR41-Y(0.486),"green (g=463, r=0)",green,463,0,"449,232,1071,720,0.9735","613,624,905,693,0.9744","538,623,565,644,0.8624",3,43.037,170.921,5.851
163,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.777) | From Aux Tr 4TRAI-Y(0.533),"green (g=435, r=0)",green,435,0,"443,232,1066,720,0.9769","609,624,899,693,0.9792","534,623,560,644,0.9323",3,43.346,171.269,5.839
164,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.574) | From Aux Tr 4TRAI-Y(0.421),"green (g=458, r=0)",green,458,0,"438,231,1060,720,0.9812","604,623,894,693,0.9795","528,623,555,644,0.8554",3,43.808,171.959,5.815
165,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.632) | From Aux Tr 4TRAI-Y(0.578),"green (g=477, r=0)",green,477,0,"430,240,1056,720,0.9836","597,623,889,693,0.9731","522,623,549,644,0.9238",3,42.895,174.333,5.736
166,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.462) | From Aux Tr 4TRAI-Y(0.564),"green (g=392, r=0)",green,392,0,"425,240,1053,720,0.9889","591,623,883,693,0.9693","517,624,543,644,0.9604",3,43.803,172.597,5.794
167,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.652) | From Aux Tr 4TRAI-Y(0.529),"green (g=491, r=0)",green,491,0,"418,238,1046,720,0.9890","586,622,877,693,0.9728","511,623,538,644,0.9338",3,43.951,171.321,5.837
168,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.705) | From Aux Tr 4TR4I-Y(0.566),"green (g=436, r=0)",green,436,0,"412,237,1039,720,0.9878","582,622,872,693,0.9772","506,624,533,644,0.8943",3,43.833,175.235,5.707
169,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.806) | From Aux Tr 4TRAI-Y(0.497),"green (g=423, r=0)",green,423,0,"407,236,1034,720,0.9820","577,621,867,692,0.9786","503,624,529,644,0.9219",3,38.616,170.998,5.848
170,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.864) | From Aux Tr 4TR4I-Y(0.457),"green (g=470, r=0)",green,470,0,"402,234,1028,720,0.9821","573,620,863,691,0.9754","498,623,524,644,0.8254",3,43.378,172.821,5.786
171,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.853) | From Aux Tr 4TR4I-Y(0.612),"green (g=508, r=0)",green,508,0,"398,233,1023,720,0.9759","569,620,860,691,0.9727","494,622,521,643,0.8067",3,44.572,178.041,5.617
172,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.672) | From Aux Tr 4TR41-Y(0.512),"green (g=454, r=0)",green,454,0,"391,226,1014,719,0.9689","562,619,855,690,0.9696","489,621,516,642,0.8810",3,40.765,173.055,5.779
173,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.794) | From Aux Tr 4TR4I-Y(0.633),"green (g=499, r=0)",green,499,0,"390,222,1012,720,0.9690","557,619,849,689,0.9639","482,621,509,643,0.8546",3,44.169,169.424,5.902
174,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.632) | From Aux Tr 4TR4I-Y(0.544),"green (g=446, r=0)",green,446,0,"384,222,1004,720,0.9748","550,619,841,690,0.9701","476,621,503,642,0.9309",3,44.838,174.224,5.740
175,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.889) | From Aux Tr 4TR4I-Y(0.623),"green (g=447, r=0)",green,447,0,"377,224,997,720,0.9708","543,620,834,691,0.9749","469,622,496,643,0.8856",3,40.167,167.304,5.977
176,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.753) | From Aux Tr 4TR4I-Y(0.629),"green (g=490, r=0)",green,490,0,"370,225,991,720,0.9789","537,621,827,691,0.9717","462,622,488,644,0.9234",3,42.435,169.588,5.897
177,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.776) | From Aux Tr 4TRAI-Y(0.493),"green (g=489, r=0)",green,489,0,"363,236,988,720,0.9789","529,622,820,692,0.9695","455,623,482,644,0.9577",3,42.539,170.204,5.875
178,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.730) | From Aux Tr 4TRAT-Y(0.603),"green (g=510, r=0)",green,510,0,"358,236,979,720,0.9861","522,623,812,693,0.9713","447,624,475,644,0.8930",3,40.772,168.438,5.937
179,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.563) | From Aux Tr 4TR4T-Y(0.352),"green (g=494, r=0)",green,494,0,"351,237,971,720,0.9858","516,624,804,693,0.9772","441,624,468,644,0.8734",3,43.176,168.943,5.919
180,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.878) | From Aux Tr 4TR4-Y(0.765),"green (g=474, r=0)",green,474,0,"344,238,962,720,0.9855","510,624,797,693,0.9763","434,624,461,644,0.8944",3,42.991,169.186,5.911
181,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.749) | From Aux Tr 4TRA1-Y(0.406),"green (g=470, r=0)",green,470,0,"338,235,953,718,0.9817","503,625,792,693,0.9716","427,623,455,644,0.9046",3,44.481,171.357,5.836
182,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.824) | From Aux Tr 4TR41-Y(0.491),"green (g=546, r=0)",green,546,0,"332,236,945,718,0.9766","495,626,784,693,0.9631","421,623,447,644,0.9189",3,41.523,168.553,5.933
183,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.494) | From Aux Tr 4TR4I-Y(0.713),"green (g=536, r=0)",green,536,0,"326,237,938,718,0.9734","489,626,776,694,0.9671","414,623,441,644,0.9137",3,40.599,165.625,6.038
184,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.524) | From Aux Tr 4TRA1-Y(0.508),"green (g=496, r=0)",green,496,0,"322,236,934,720,0.9763","482,627,768,694,0.9717","407,624,434,644,0.9270",3,42.945,166.537,6.005
185,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.520) | From Aux Tr 4TRA1-Y(0.647),"green (g=453, r=0)",green,453,0,"314,236,927,720,0.9813","475,627,762,695,0.9685","399,624,426,644,0.8923",3,42.786,166.065,6.022
186,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.569) | From Aux Tr 4TR4I-Y(0.552),"green (g=456, r=0)",green,456,0,"304,242,922,719,0.9846","465,627,754,695,0.9514","392,624,419,644,0.9571",3,41.806,168.633,5.930
187,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.602) | From Aux Tr 4TRA1-Y(0.599),"green (g=439, r=0)",green,439,0,"299,241,915,719,0.9896","460,628,747,695,0.9619","385,624,411,644,0.8890",3,42.603,166.349,6.011
188,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.834) | From Aux Tr 4TR4I-Y(0.626),"green (g=413, r=0)",green,413,0,"291,241,906,720,0.9904","453,628,740,695,0.9480","378,624,404,645,0.8988",3,43.970,164.886,6.065
189,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.551) | From Aux Tr 4TRA1-Y(0.543),"green (g=501, r=0)",green,501,0,"284,241,898,720,0.9882","447,628,733,696,0.9462","371,624,397,645,0.9457",3,40.305,166.473,6.007
190,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.618) | From Aux Tr 4TRA1-Y(0.681),"green (g=529, r=0)",green,529,0,"276,241,890,720,0.9845","438,629,726,696,0.9454","363,625,391,646,0.9477",3,42.980,166.574,6.003
191,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.543) | From Aux Tr 4TRA1-Y(0.587),"green (g=383, r=0)",green,383,0,"269,239,880,718,0.9800","431,628,719,696,0.9563","357,625,383,646,0.9491",3,43.759,167.748,5.961
192,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.638) | From Aux Tr 4TR41-Y(0.748),"green (g=525, r=0)",green,525,0,"260,238,873,718,0.9767","425,629,711,696,0.9581","349,625,376,646,0.9638",3,43.793,171.077,5.845
193,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.553) | From Aux Tr 4TR41-Y(0.800),"green (g=474, r=0)",green,474,0,"257,237,869,720,0.9758","418,628,703,695,0.9544","343,625,369,646,0.9520",3,37.840,165.091,6.057
194,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.908) | From Aux Tr 4TR41-Y(0.681),"green (g=544, r=0)",green,544,0,"248,236,863,720,0.9784","410,628,698,695,0.9604","335,624,362,646,0.9410",3,41.796,165.896,6.028
195,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.867) | From Aux Tr 4TRA1-Y(0.624),"green (g=417, r=0)",green,417,0,"236,239,859,719,0.9771","401,627,690,694,0.9556","328,624,355,645,0.9552",3,40.576,166.959,5.990
196,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.671) | From Aux Tr 4TR41-Y(0.690),"green (g=488, r=0)",green,488,0,"225,237,851,719,0.9682","394,626,682,693,0.9611","319,624,346,644,0.8875",3,42.120,166.722,5.998
197,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.781) | From Aux Tr 4TRAI-Y(0.672),"green (g=548, r=0)",green,548,0,"212,235,841,720,0.9695","386,626,673,693,0.9738","311,622,338,644,0.9212",3,41.201,165.857,6.029
198,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.728) | From Aux Tr 4TR41-Y(0.713),"green (g=554, r=0)",green,554,0,"203,234,833,720,0.9671","378,626,667,693,0.9759","302,621,330,642,0.8471",3,44.528,172.360,5.802
